2,"5,438.82",1347,1347,2
7,"98,092.50",1321,273,15
5,955.85,450,450,2
10,"207,830.00",839,1442,5
8,"244,890.00",373,1307,30
9,"80,000.00",1251,1251,180
7,"5,797.88",533,533,0
1,94.14,394,394,0
3,334.62,988,577,6
3,"2,452.08",1489,577,0
2,34.32,887,577,1
1,119.22,1130,1130,0
2,"4,482.39",120,577,0
10,"61,661.75",544,544,4
3,"16,000.00",68,68,2
1,97.99,784,784,0
5,70.62,1359,577,1
12,"75,131.52",405,819,8
5,"484,240.00",68,68,12
2,"87,858.00",887,577,0
4,55.86,39,577,3
3,59.65,219,219,0
2,868.44,330,577,5
2,"21,964.50",887,577,0
1,18.42,1550,1550,0
5,"2,395.19",161,161,6
3,334.62,527,577,4
1,35.65,1250,1250,0
6,"70,549.26",1123,1123,1
1,960,827,827,0
4,"66,920.00",1182,1442,0
3,"7,467.20",636,636,0
9,0,1301,1301,44
3,"12,773.80",1155,577,4
5,144.53,211,577,3
5,140.48,1155,577,4
11,"309,478.50",247,247,18
7,334.62,1070,577,9
2,"7,759.00",887,577,0
3,334.62,798,577,3
2,"19,175.00",1110,1110,0
5,"4,166.45",307,1347,0
3,"3,216.64",208,1347,1
3,744,680,680,2
2,60.12,695,695,3
3,334.62,62,577,0
3,21.18,149,149,1
6,"16,000.00",827,577,2
12,"103,400.00",1414,918,14
3,"4,128.00",159,159,1
4,19.26,1462,577,11
8,"30,907.02",208,1347,13
2,119.81,1179,577,0
2,"2,645.33",439,577,0
5,"27,594.45",1549,1549,2
2,"2,865.79",1085,577,0
4,288.08,314,577,1
5,583.15,1449,577,10
3,"2,156.45",281,577,3
2,"5,325.81",1319,577,1
4,"83,720.00",511,511,7
5,"2,323.39",605,605,2
2,941.64,898,577,0
6,"6,359.66",527,577,4
1,"4,620.20",273,273,0
1,112.18,1166,1166,0
1,"20,181.00",1124,1124,0
4,"19,309.32",553,553,6
5,"14,796.54",1347,1347,5
3,971.92,1106,1106,2
4,"91,736.16",476,476,5
8,"17,395.00",102,102,1
3,"12,500.00",51,51,1
1,53.46,368,368,0
3,334.62,1108,577,0
2,"1,389.43",1347,1347,1
2,"5,731.58",887,577,1
3,"1,589.78",208,1347,6
2,"2,392.30",513,513,0
5,309.39,701,577,1
3,89.88,530,577,8
4,"41,466.00",1454,1454,0
4,"149,000.00",386,386,10
8,"11,946.02",544,544,7
2,"3,093.94",622,577,0
3,132.38,1042,577,2
40,"1,124.10",1156,1156,27
3,"97,002.00",887,577,0
5,"2,451.74",887,577,0
14,"128,350.00",177,873,16
3,334.62,1031,577,1
14,"245,000.00",2,591,79
5,"7,520.95",178,178,5
5,"121,920.00",1218,1218,3
10,"97,200.00",691,1224,10
17,"2,616,594.00",373,198,149
3,"4,219.77",247,247,3
11,"175,000.00",51,51,93
3,"19,272.60",887,577,0
6,"8,000.00",1067,304,3
8,"159,840.00",827,577,11
7,"287,774.53",1472,1472,10
1,"1,212.40",1571,1571,0
5,"27,210.00",1396,577,5
6,"306,504.39",1155,1155,5
7,"110,500.00",1123,1123,14
1,529.06,1320,1320,0
4,"20,015.00",86,273,2
2,"1,339.86",120,577,0
2,41.43,1585,1585,0
2,"3,250.40",1315,1315,1
4,25.68,909,577,2
4,"68,851.00",887,577,2
9,"2,412.48",1347,1347,0
3,"2,659.08",1472,1472,4
4,"117,993.40",476,476,1
17,"49,600.33",1571,577,10
3,45.52,383,577,8
11,"155,842.37",1224,1224,5
4,"31,680.00",1082,577,1
19,"140,000.00",414,414,24
3,485.2,450,450,2
4,"8,796.50",887,577,3
3,"9,336.00",887,577,0
3,144.9,644,577,4
9,"304,750.00",259,259,11
4,"6,000.00",273,273,1
21,"157,330.00",54,1301,161
4,38.52,260,577,2
2,18.58,1202,1202,1
3,"14,102.00",1438,1438,0
4,660.81,969,969,0
3,432.89,630,577,1
6,"2,978.56",247,247,1
20,"55,026.02",12,12,34
5,"290,000.00",1218,1218,6
3,334.62,1129,577,1
5,"1,007.97",1241,577,7
5,10.36,883,577,7
3,120.84,1424,1424,0
11,"60,187.00",1533,1123,1
2,337.61,796,954,0
14,"31,856.00",891,840,5
4,"97,660.92",120,577,0
11,"5,556.32",1123,1123,4
8,"31,719.00",470,470,4
3,"1,930.04",547,141,0
22,"105,600.00",1543,1543,162
1,148.82,557,557,0
9,"2,452.85",516,516,7
8,"99,867.57",208,1347,11
10,"239,502.03",208,683,348
3,739.7,1467,577,0
4,32.96,404,577,12
2,"2,804.25",342,577,11
2,"1,528.52",16,954,0
3,"15,000.00",1333,1333,1
3,168.37,1443,1443,1
18,"289,285.84",993,993,20
5,"1,473,838.12",1082,1082,7
3,"12,000.00",1423,1423,0
2,310.36,544,544,1
1,7.72,85,85,0
7,"3,124.15",1339,577,7
1,12.86,1260,1260,0
6,"2,874.58",311,311,5
2,"3,093.94",778,577,0
3,"86,400.00",68,68,0
11,"31,030.34",1063,1063,13
3,152.56,1131,577,0
2,256.34,1293,577,0
8,"491,400.00",1566,1566,26
5,669.24,233,577,8
16,"39,680.05",1404,1404,554
13,"62,800.00",1521,338,53
1,55.46,957,957,0
11,"39,119.00",1454,1454,3
3,"5,600.00",1566,1566,0
10,"29,572.39",208,1347,17
4,631.68,1415,1415,1
6,"20,900.00",39,577,10
4,"6,053.79",340,340,5
3,233.63,30,30,1
2,"11,532.00",1124,1124,0
12,"4,300.00",544,544,17
4,"73,293.44",470,470,11
2,"10,502.02",141,141,4
3,"2,273.69",928,577,4
2,149.73,664,664,0
4,"65,000.00",813,779,13
9,"17,731.04",1481,1481,9
2,"9,206.00",281,577,0
6,"76,700.00",208,1347,5
4,"10,709.44",1364,1364,0
3,"20,678.40",1063,1063,0
4,"16,219.50",1549,1549,3
6,145.67,906,577,9
4,"30,000.00",1400,557,3
1,32.37,237,237,0
2,"3,783.00",887,577,0
4,258.4,1431,577,0
1,95.78,505,505,4
6,"94,397.61",476,476,5
9,"4,311.45",550,550,26
15,"156,000.00",386,386,33
1,586.27,1062,1062,0
10,"680,487.12",1224,1224,5
3,334.62,682,577,7
2,418.5,1062,1062,3
4,60.41,292,577,2
7,"20,777.68",961,577,1
5,669.24,1116,577,2
4,"137,295.00",828,381,1
3,"3,182.63",1308,577,0
7,"181,500.00",1040,1224,13
10,"88,000.00",1489,1489,1
2,"2,872.00",1347,1347,0
3,"31,838.92",1224,1224,4
