,0,1,2,3,4
207,4,41550.0,565,273,0
208,5,225,527,577,27
209,10,9000.0,120,577,4
210,4,59800.0,938,938,2
211,13,116400.0,813,615,22
212,2,34.32,887,577,1
213,8,312360.0,984,984,15
214,4,14764.41,150,577,1
215,1,97.99,784,784,0
216,5,70.62,1359,577,1
217,3,669.24,30,577,4
218,4,4120.0,396,577,0
219,4,55.86,39,577,3
220,3,59.65,219,219,0
221,3,30000.0,434,434,5
222,2,868.44,330,577,5
223,2,2619.2,120,577,0
224,1,18.42,1550,1550,0
225,10,105600.0,1040,779,10
226,3,334.62,527,577,4
227,1,35.65,1250,1250,0
228,4,3203.46,179,577,5
229,1,960,827,827,0
230,2,7275.0,887,577,0
231,27,243245.0,1568,1382,147
232,4,1732.08,1009,577,0
233,5,4215.0,985,1123,6
234,9,0,1301,1301,44
235,5,47094.68,30,577,1
236,16,171082.0,1317,506,193
237,5,144.53,211,577,3
238,5,140.48,1155,577,4
239,5,145388.02,442,557,7
240,4,5259.93,247,247,0
241,7,334.62,1070,577,9
242,3,334.62,798,577,3
243,5,62500.0,1368,1368,1
244,2,8595.85,887,577,0
245,3,2864.06,912,1039,0
246,3,744,680,680,2
247,2,60.12,695,695,3
248,2,11460.0,120,577,0
249,3,334.62,62,577,0
250,12,294079.77,1025,1025,7
251,3,21.18,149,149,1
252,3,2997.38,14,577,0
253,3,8028.48,1368,1368,0
254,4,19.26,1462,577,11
255,1,289.95,852,852,2
256,2,119.81,1179,577,0
257,8,67375.5,1352,1352,19
258,4,40500.0,603,577,3
259,6,59790.0,827,577,3
260,5,13745.2,887,577,1
261,4,288.08,314,577,1
262,5,583.15,1449,577,10
263,4,27513.0,562,562,0
264,4,121900.0,1368,1368,6
265,2,2738.48,544,544,0
266,12,1960200.0,640,640,6
267,20,68711.91,938,938,487
268,8,25688.72,1549,1549,3
269,2,941.64,898,577,0
270,1,112.18,1166,1166,0
271,3,971.92,1106,1106,2
272,2,85464.6,887,577,1
273,5,65198.59,274,577,2
274,3,1034.46,1373,1373,0
275,1,53.46,368,368,0
276,3,18410.2,887,577,0
277,16,61910.0,1511,577,8
278,3,334.62,1108,577,0
279,6,32650.44,1259,1259,8
280,4,106560.0,274,274,0
281,3,4791.56,661,577,0
282,6,171480.0,1563,1563,6
283,9,1473.5,1130,1130,18
284,5,309.39,701,577,1
285,3,89.88,530,577,8
286,8,239353.43,274,577,6
287,5,65000.0,966,930,15
288,5,5666.98,1549,1549,1
289,4,2572.4,208,1347,5
290,4,1086.28,514,577,0
291,3,132.38,1042,577,2
292,8,15940.69,922,273,5
293,8,7068.0,51,51,4
294,3,9400.0,1352,1352,1
295,3,334.62,1031,577,1
296,3,4542.41,961,961,0
297,10,80000.0,1110,1110,5
298,20,13211.6,470,470,10
299,4,5460.0,1260,1260,1
300,5,12994.56,1549,1549,1
301,13,60000.0,273,273,319
302,1,190.58,1324,1324,0
303,23,576000.0,506,506,73
304,1,529.06,1320,1320,0
305,4,1307.69,544,544,3
306,4,6127.32,1549,1549,0
307,2,41.43,1585,1585,0
308,7,11679.88,1540,1540,6
309,6,195600.0,141,141,11
310,4,25.68,909,577,2
311,5,229080.0,306,306,7
312,7,85000.0,871,577,6
313,6,265415.74,1082,1082,10
314,6,56250.0,235,235,11
315,3,45.52,383,577,8
316,6,62100.0,1495,1495,6
317,10,533250.0,827,577,5
